ARRAY_ID	CHEMICAL	DOSE	VEHICLE	ROUTE	DURATION	ORGAN_OR_CELL_TYPE	ANIMAL_ID	SEX	SPECIES	STRAIN	STUDY_TYPE	RNA_ID	TOXICOLOGY_EXPERIMENT_DATE	RNA_EXTRACTION_DATE	cRNA_PREP_DATE	HYB_DATE
96372.CEL	DANAZOL	2000 mg/kg	CMC .5 %	ORAL GAVAGE	3 d	LIVER	S020513-140	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	99489	05/13/2002	03/02/2006	03/08/2006	03/13/2006
96445.CEL	IFOSFAMIDE	143 mg/kg	SALINE 100 %	ORAL GAVAGE	3 d	LIVER	I011106-043	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	99564	11/06/2001	03/02/2006	03/08/2006	03/14/2006
96538.CEL	NORETHINDRONE ACETATE	125 mg/kg	CORN OIL 100 %	ORAL GAVAGE	3 d	LIVER	S020506-236	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	99657	05/06/2002	03/06/2006	03/09/2006	03/16/2006
96487.CEL	PYROGALLOL	1000 mg/kg	WATER 100 %	ORAL GAVAGE	3 d	LIVER	R020924-117	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	99602	09/24/2002	03/06/2006	03/09/2006	03/15/2006
96516.CEL	PYROGALLOL	1000 mg/kg	WATER 100 %	ORAL GAVAGE	3 d	LIVER	R020924-116	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	99632	09/24/2002	03/06/2006	03/09/2006	03/15/2006
97666.CEL	LEFLUNOMIDE	30 mg/kg	CORN OIL 100 %	ORAL GAVAGE	1 d	LIVER	S011009-114	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	50975	10/09/2001	04/12/2006	04/17/2006	04/24/2006
97688.CEL	ZOMEPIRAC	11 mg/kg	SALINE 100 %	ORAL GAVAGE	1 d	LIVER	S011127-281	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	51000	11/27/2001	04/12/2006	04/17/2006	04/25/2006
96652.CEL			SALINE 100 %	ORAL GAVAGE	1 d	LIVER	S010924-028	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	98712	09/24/2001	02/07/2006	02/14/2006	03/20/2006
96615.CEL	ALLYL ALCOHOL	16 mg/kg	SALINE 100 %	INTRAPERITONEAL	1 d	LIVER	CVD040520-017	M	Rat, Male, CD-IGS, Sprague Dawley	RATM	In Vivo	99737	05/20/2004	03/06/2006	03/12/2006	03/20/2006
93465.CEL	AMINEPTINE	1667 uM	DMSO .1 %	NONE	1 d	CELL CULTURE	C20040818-16604		Primary Rat Hepatocytes	RHCYT	In Vitro	16604	08/18/2004	11/29/2005	12/04/2005	12/11/2005
93497.CEL	VALERIC ACID	23000 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040818-16637		Primary Rat Hepatocytes	RHCYT	In Vitro	16637	08/18/2004	11/29/2005	12/04/2005	12/12/2005
93505.CEL	CITALOPRAM	150 uM	DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040727-16645		Primary Rat Hepatocytes	RHCYT	In Vitro	16645	07/27/2004	11/29/2005	12/04/2005	12/12/2005
93397.CEL			DMSO .1 %	NONE	.67 d	CELL CULTURE	C20040811-16531		Primary Rat Hepatocytes	RHCYT	In Vitro	16531	08/11/2004	11/28/2005	12/01/2005	12/08/2005
